Client ID,Byzantine,Initial Trust,Final Trust,Initial Tier,Final Tier,Tier Changes
1488963811...,✓,0.226,0.660,1,2,3
1446580582...,✓,0.046,0.587,1,2,1
1256303775...,✓,0.046,0.582,1,2,3
1166870532...,✓,0.288,0.567,1,2,5
4346079606...,✓,0.065,0.562,1,2,1
1208449322...,✓,0.100,0.555,1,2,3
9814157404...,✓,0.046,0.547,1,2,3
9404507502...,✓,0.073,0.530,1,2,1
1316172871...,✓,0.046,0.520,1,2,1
3359590133...,✓,0.073,0.510,1,2,3
9999599928...,✓,0.091,0.509,1,2,5
4197186078...,✓,0.329,0.505,2,2,2
1626807624...,✓,0.038,0.496,1,2,3
7674907693...,✓,0.046,0.484,1,2,3
9387067184...,✓,0.046,0.461,1,2,1
6396780973...,✓,0.046,0.454,1,2,3
6473104052...,✓,0.038,0.447,1,2,9
7859920847...,✓,0.186,0.417,1,2,9
1476593425...,✓,0.038,0.409,1,2,1
1311444832...,✓,0.067,0.406,1,2,3
7603717225...,✓,0.060,0.404,1,2,5
1580103275...,✓,0.046,0.401,1,2,1
3697151155...,✓,0.046,0.398,1,2,1
8919290709...,✓,0.038,0.395,1,2,1
3919715121...,✓,0.038,0.393,1,2,5
1061737491...,✓,0.070,0.388,1,2,1
1616678658...,✓,0.114,0.381,1,2,3
1430644617...,✓,0.038,0.380,1,2,5
1106584535...,✓,0.046,0.367,1,2,5
1656694002...,✓,0.046,0.365,1,2,1
5926453095...,✓,0.046,0.363,1,2,5
2784191948...,✓,0.038,0.352,1,2,5
8230820237...,✓,0.363,0.349,2,2,2
8453033374...,✓,0.223,0.340,1,2,7
1179258820...,✓,0.038,0.335,1,2,5
2951061342...,✓,0.038,0.332,1,2,3
1469089473...,✓,0.046,0.331,1,2,1
1687276597...,✓,0.038,0.296,1,1,4
3048940234...,✓,0.033,0.234,1,1,0
4534730264...,✓,0.033,0.234,1,1,0
5462979555...,✓,0.033,0.234,1,1,0
4425148366...,✓,0.033,0.234,1,1,0
3746918167...,✓,0.033,0.234,1,1,0
1313258513...,✓,0.033,0.234,1,1,0
1377862999...,✓,0.033,0.234,1,1,0
1370880953...,✓,0.033,0.234,1,1,0
8708719583...,✓,0.033,0.234,1,1,0
1574121522...,✓,0.033,0.234,1,1,0
1028348350...,✓,0.033,0.234,1,1,0
4892544814...,✓,0.033,0.234,1,1,0
5934437274...,✓,0.033,0.234,1,1,0
1483006404...,✓,0.038,0.157,1,1,0
1446589384...,✓,0.038,0.153,1,1,0
1416386646...,✓,0.038,0.148,1,1,0
1063903545...,✓,0.038,0.005,1,1,0
9568121418...,✓,0.038,0.005,1,1,0
1258566356...,✓,0.038,0.005,1,1,0
4953282938...,✓,0.033,0.000,1,1,0
1083495179...,✓,0.000,0.000,1,1,0
5011262865...,✓,0.000,0.000,1,1,0
4372512651...,✓,0.000,0.000,1,1,0
6437865593...,✓,0.000,0.000,1,1,0
1400170491...,✓,0.000,0.000,1,1,0
3677639100...,✓,0.000,0.000,1,1,0
1190687511...,✓,0.000,0.000,1,1,0
2699032718...,✓,0.000,0.000,1,1,0
1435599955...,✓,0.000,0.000,1,1,0
1509245306...,✓,0.000,0.000,1,1,0
1095365714...,✓,0.000,0.000,1,1,0
1543224509...,✓,0.000,0.000,1,1,0
3867313835...,✓,0.000,0.000,1,1,0
8065464051...,✓,0.000,0.000,1,1,0
8341274879...,,1.000,1.000,3,3,0
1050813797...,,1.000,1.000,3,3,0
3893035530...,,1.000,1.000,3,3,0
1319115069...,,1.000,1.000,3,3,0
1330188182...,,1.000,1.000,3,3,0
1291668333...,,1.000,1.000,3,3,0
4355727964...,,1.000,1.000,3,3,0
5652179300...,,1.000,1.000,3,3,0
7278008333...,,1.000,1.000,3,3,0
1584042255...,,1.000,1.000,3,3,0
4244363731...,,1.000,1.000,3,3,0
1250452442...,,1.000,1.000,3,3,0
4617120907...,,1.000,1.000,3,3,0
5273751589...,,1.000,1.000,3,3,0
1460322470...,,1.000,1.000,3,3,0
1463549070...,,1.000,1.000,3,3,0
7493674316...,,1.000,1.000,3,3,0
1683267662...,,1.000,1.000,3,3,0
1538718265...,,1.000,1.000,3,3,0
4234954519...,,1.000,1.000,3,3,0
1831529889...,,1.000,1.000,3,3,0
3243581776...,,1.000,1.000,3,3,0
1299395863...,,1.000,1.000,3,3,0
8823737305...,,1.000,1.000,3,3,0
